carat,cut,color,clarity,depth,table,x,y,z,price
0.77,Good,J,SI2,61.5,55.0,1.98,2.01,1.22,2709
2.51,Fair,G,IF,60.6,58.0,6.42,6.47,4.03,20000
0.86,Ideal,F,VS2,61.2,56.0,2.17,2.15,1.33,4288
0.55,Very Good,F,IF,61.0,60.0,1.4,1.36,0.87,1667
0.49,Premium,G,SI1,62.7,60.0,1.27,1.27,0.79,1159
0.58,Ideal,H,VS1,62.2,57.0,1.48,1.55,0.89,1837
2.2,Very Good,I,SI1,62.7,62.0,5.66,5.66,3.47,19364
0.61,Premium,G,SI1,60.1,60.0,1.53,1.47,0.92,1999
1.17,Ideal,I,VS2,63.7,59.0,3.0,3.01,1.8,7499
0.61,Very Good,E,SI1,61.1,59.0,1.58,1.62,0.94,1697
0.84,Good,D,SI2,60.2,60.0,2.14,2.13,1.31,3602
1.1,Very Good,D,SI1,61.1,55.0,2.79,2.85,1.73,7235
0.56,Very Good,D,SI2,65.2,58.0,1.43,1.47,0.89,1570
0.54,Ideal,F,VS1,61.2,58.0,1.39,1.39,0.84,1744
1.7,Ideal,E,VS2,61.2,57.0,4.29,4.29,2.6,14029
1.21,Ideal,H,SI2,61.4,59.0,3.08,2.99,1.9,8474
1.1,Ideal,F,SI2,61.5,60.0,2.77,2.83,1.72,6589
1.1,Ideal,G,SI2,60.6,57.0,2.8,2.78,1.68,6309
0.93,Very Good,G,VS2,61.9,57.0,2.37,2.35,1.43,5188
2.03,Ideal,E,SI2,63.2,56.0,5.25,5.22,3.21,16905
0.76,Premium,H,VS1,62.1,54.0,1.93,1.95,1.17,3359
0.99,Ideal,H,SI2,60.1,59.0,2.53,2.47,1.56,5468
0.36,Ideal,D,SI1,61.2,57.0,0.93,0.88,0.57,300
0.49,Very Good,J,VVS1,60.9,58.0,1.24,1.24,0.74,826
0.41,Good,G,VS1,61.8,55.0,1.05,1.02,0.63,479
1.4,Very Good,D,SI2,63.6,57.0,3.6,3.62,2.25,9550
0.21,Premium,F,VVS2,61.5,60.0,0.53,0.5,0.32,300
0.61,Ideal,F,VS2,61.6,58.0,1.54,1.62,0.91,1891
0.2,Ideal,H,VVS2,64.2,58.0,0.51,0.54,0.32,300
0.49,Fair,G,VS2,62.9,58.0,1.24,1.27,0.77,300
0.58,Premium,D,VS1,62.5,55.0,1.47,1.44,0.9,1884
1.48,Premium,F,IF,64.4,59.0,3.83,3.95,2.34,11795
0.9,Very Good,G,SI1,62.4,55.0,2.29,2.27,1.44,4522
0.49,Good,I,VS1,58.9,55.0,1.26,1.22,0.75,1209
1.26,Very Good,J,VS2,62.9,55.0,3.18,3.22,1.94,8118
0.75,Ideal,D,SI2,59.5,57.0,1.94,1.95,1.19,3253
0.75,Very Good,G,I1,62.3,57.0,1.93,1.89,1.14,2900
0.41,Premium,F,SI2,59.3,57.0,1.06,1.17,0.64,331
0.45,Ideal,J,VS1,61.0,56.0,1.14,1.19,0.71,300
0.49,Premium,E,VS2,61.2,60.0,1.25,1.25,0.76,1252
0.76,Ideal,D,VS2,60.6,59.0,1.94,2.06,1.21,3402
0.77,Ideal,F,SI2,61.2,57.0,1.98,2.02,1.22,3001
1.6,Very Good,I,VS2,63.1,56.0,4.12,4.12,2.56,12205
0.9,Premium,F,VVS1,60.7,56.0,2.26,2.37,1.41,5635
0.2,Very Good,E,SI1,62.5,57.0,0.52,0.55,0.32,300
0.84,Very Good,G,VS1,60.3,54.0,2.17,2.2,1.35,3719
0.36,Fair,D,VVS2,61.4,55.0,0.92,0.9,0.57,300
0.46,Premium,F,VVS2,62.2,59.0,1.16,1.16,0.71,745
0.49,Premium,D,VS2,60.3,58.0,1.26,1.24,0.77,1203
0.53,Good,F,VVS2,59.9,61.0,1.35,1.42,0.81,1490
0.37,Very Good,I,SI1,62.4,57.0,0.95,0.87,0.59,300
0.82,Ideal,H,VVS1,63.3,57.0,2.11,2.18,1.27,4577
0.37,Very Good,H,SI1,61.6,57.0,0.93,0.89,0.57,300
0.89,Very Good,D,SI1,61.1,57.0,2.28,2.28,1.37,4981
2.27,Premium,E,SI2,61.9,56.0,5.78,5.77,3.57,20000
0.38,Ideal,E,VVS2,61.8,58.0,0.98,0.95,0.62,1480
0.64,Very Good,H,SI1,62.0,58.0,1.62,1.65,1.01,2187
0.21,Ideal,I,SI1,58.2,56.0,0.53,0.53,0.33,300
0.64,Ideal,E,SI1,60.2,60.0,1.65,1.62,1.01,3078
1.02,Very Good,G,VVS1,60.5,62.0,2.57,2.58,1.57,6400
1.06,Ideal,H,VVS2,61.9,60.0,2.72,2.69,1.63,6435
0.77,Premium,F,VS2,62.0,59.0,1.95,1.92,1.18,4014
1.16,Ideal,J,VS2,62.6,59.0,2.96,2.89,1.79,7790
2.65,Ideal,H,VS2,62.1,62.0,6.78,6.76,4.26,20000
1.74,Premium,G,SI1,59.9,59.0,4.42,4.44,2.68,14595
0.57,Good,I,VVS1,63.7,56.0,1.47,1.47,0.9,1491
0.36,Ideal,D,SI2,63.5,58.0,0.91,1.0,0.57,300
0.6,Very Good,H,SI1,59.9,59.0,1.52,1.65,0.93,2277
0.46,Very Good,I,SI1,62.2,55.0,1.17,1.15,0.7,300
0.93,Fair,H,VS2,60.9,57.0,2.38,2.34,1.44,4946
0.41,Premium,E,VS2,61.9,60.0,1.04,1.1,0.63,683
0.71,Ideal,G,VS2,63.2,53.0,1.79,1.81,1.11,2694
1.13,Fair,F,SI2,64.7,55.0,2.92,2.98,1.76,6226
0.7,Premium,J,VS2,62.8,57.0,1.78,1.8,1.1,3034
0.46,Very Good,J,SI1,62.1,58.0,1.17,1.16,0.73,334
1.33,Ideal,G,SI2,61.2,55.0,3.39,3.38,2.05,8919
0.29,Very Good,E,SI2,62.0,57.0,0.73,0.75,0.43,300
0.63,Ideal,D,VS1,63.6,60.0,1.59,1.58,0.98,2658
0.73,Premium,J,SI1,61.6,58.0,1.84,1.9,1.11,2274
0.75,Ideal,F,VS1,60.5,60.0,1.89,1.82,1.16,3900
0.81,Good,D,VS1,59.4,56.0,2.05,2.11,1.26,4228
1.01,Very Good,G,VS1,62.4,56.0,2.57,2.48,1.56,6411
0.73,Good,E,VS2,62.0,59.0,1.87,1.88,1.17,2996
0.62,Ideal,I,SI1,60.8,58.0,1.59,1.57,0.96,2449
0.6,Ideal,D,SI1,63.1,55.0,1.51,1.43,0.91,1891
0.55,Very Good,E,VS1,61.1,56.0,1.42,1.32,0.89,1616
1.1,Ideal,D,VS2,61.5,61.0,2.83,2.78,1.69,7235
0.54,Ideal,E,VVS2,61.7,55.0,1.4,1.4,0.83,2429
1.13,Premium,G,VVS1,61.2,60.0,2.87,2.84,1.8,7082
0.75,Premium,D,SI2,62.0,56.0,1.92,1.87,1.15,3378
0.57,Very Good,H,SI2,63.3,57.0,1.44,1.51,0.86,1165
1.01,Good,G,VS1,60.1,58.0,2.6,2.54,1.59,5897
0.51,Ideal,E,SI1,62.4,53.0,1.29,1.32,0.76,1224
1.02,Ideal,E,I1,61.9,54.0,2.59,2.55,1.59,6146
0.82,Ideal,D,VVS1,61.9,58.0,2.09,2.03,1.27,4743
0.55,Very Good,H,SI1,62.9,56.0,1.41,1.38,0.87,1510
0.96,Very Good,E,VVS1,61.8,60.0,2.45,2.48,1.47,5686
0.97,Ideal,E,VS1,62.4,54.0,2.44,2.37,1.53,5648
1.32,Ideal,J,VS1,62.7,59.0,3.36,3.37,2.02,8791
1.2,Ideal,G,SI1,61.0,54.0,3.1,3.05,1.91,8482
0.95,Ideal,H,SI1,62.1,57.0,2.45,2.41,1.54,5072
0.42,Ideal,H,VS2,61.3,55.0,1.07,1.09,0.65,300
2.52,Good,D,SI2,61.5,62.0,6.44,6.55,3.84,20000
0.37,Very Good,F,SI1,61.2,55.0,0.93,0.88,0.55,300
1.19,Ideal,E,SI1,62.4,57.0,3.01,3.05,1.89,7549
0.92,Premium,D,SI2,61.8,54.0,2.33,2.31,1.45,5257
0.41,Fair,G,SI1,62.3,61.0,1.04,1.02,0.65,300
0.7,Good,E,VVS2,61.7,58.0,1.8,1.85,1.11,3503
0.71,Ideal,G,SI2,59.5,58.0,1.81,1.77,1.09,2698
1.42,Fair,D,SI2,61.7,61.0,3.58,3.52,2.13,10308
0.52,Very Good,I,VS1,61.8,58.0,1.32,1.34,0.83,1075
0.65,Premium,D,IF,62.0,58.0,1.64,1.72,1.0,2562
0.23,Ideal,H,SI1,60.9,58.0,0.59,0.63,0.36,300
1.76,Ideal,H,SI2,60.0,59.0,4.44,4.37,2.72,13865
0.43,Very Good,E,VS2,62.6,56.0,1.1,1.07,0.65,653
0.87,Ideal,G,VVS1,61.3,57.0,2.23,2.28,1.34,4199
0.7,Very Good,F,VVS2,61.9,59.0,1.77,1.85,1.09,3149
0.71,Very Good,G,VS1,61.3,58.0,1.79,1.8,1.06,3054
1.11,Ideal,E,SI1,61.7,57.0,2.84,2.81,1.69,6392
1.71,Ideal,H,VS2,61.1,54.0,4.3,4.38,2.62,13313
0.84,Ideal,J,SI2,60.3,61.0,2.15,2.15,1.32,3704
1.03,Ideal,H,VS1,62.4,56.0,2.65,2.62,1.58,6155
0.87,Premium,G,VS1,60.9,60.0,2.21,2.17,1.31,5172
1.23,Good,I,IF,61.9,58.0,3.13,3.07,1.97,8710
0.59,Premium,G,SI1,62.3,55.0,1.52,1.66,0.9,1468
1.27,Very Good,G,I1,60.9,60.0,3.23,3.3,1.91,7996
1.29,Very Good,J,VS2,60.0,58.0,3.34,3.31,2.01,8113
1.27,Ideal,F,VS1,65.1,60.0,3.2,3.29,1.92,8603
0.53,Premium,D,VVS2,61.0,57.0,1.36,1.39,0.83,1346
0.68,Ideal,I,SI1,62.6,59.0,1.74,1.76,1.09,2446
0.84,Ideal,F,SI1,64.4,54.0,2.17,2.13,1.32,3989
0.37,Ideal,E,VS2,62.8,56.0,0.93,0.9,0.58,300
1.64,Premium,G,SI1,61.3,55.0,4.15,4.15,2.6,12485
0.74,Premium,E,VVS1,61.6,57.0,1.87,1.77,1.12,3396
0.85,Premium,G,VS2,60.5,59.0,2.2,2.18,1.34,4172
0.56,Very Good,G,VVS2,62.9,56.0,1.42,1.42,0.87,2061
0.38,Ideal,J,VS2,62.5,59.0,0.98,1.05,0.59,300
0.55,Very Good,E,VVS2,61.0,56.0,1.39,1.36,0.86,1868
0.83,Fair,E,SI1,60.2,59.0,2.09,2.13,1.29,4294
1.04,Ideal,J,VVS2,59.9,60.0,2.63,2.53,1.6,6758
0.8,Very Good,G,SI1,63.1,60.0,2.05,2.11,1.22,4061
0.88,Ideal,D,VS2,61.9,57.0,2.27,2.22,1.34,5004
0.63,Ideal,G,SI1,62.0,53.0,1.6,1.61,0.97,2092
0.95,Ideal,G,VS2,60.5,59.0,2.45,2.47,1.45,5221
1.55,Premium,D,SI1,59.7,57.0,3.92,3.93,2.44,11609
1.05,Fair,E,SI1,63.0,55.0,2.69,2.68,1.62,6241
1.11,Ideal,F,IF,61.8,56.0,2.85,2.79,1.76,7407
0.86,Premium,E,SI2,63.0,61.0,2.18,2.14,1.32,3789
0.35,Ideal,D,VVS2,61.2,55.0,0.88,0.93,0.55,300
0.44,Ideal,G,IF,61.4,59.0,1.12,1.09,0.7,1745
0.93,Ideal,G,I1,62.7,58.0,2.34,2.33,1.46,4421
0.74,Very Good,G,VS1,62.7,57.0,1.91,1.84,1.16,2923
0.92,Premium,D,SI1,62.8,59.0,2.38,2.42,1.41,5431
1.71,Ideal,E,SI2,61.3,61.0,4.39,4.32,2.66,13258
1.07,Very Good,J,SI1,62.6,57.0,2.75,2.8,1.67,6245
1.39,Very Good,D,VVS1,63.3,57.0,3.52,3.47,2.21,10903
0.78,Premium,G,I1,61.6,59.0,1.96,2.01,1.2,4023
0.49,Ideal,J,VS2,61.0,60.0,1.26,1.26,0.78,703
0.72,Ideal,F,VS2,63.6,57.0,1.84,1.81,1.14,3033
0.5,Premium,G,VVS1,60.8,57.0,1.28,1.36,0.78,1191
1.61,Good,D,SI2,62.6,53.0,4.14,4.14,2.54,12092
1.1,Premium,H,VS1,61.6,56.0,2.8,2.78,1.68,7276
0.96,Ideal,E,VS1,59.1,55.0,2.42,2.47,1.43,5259
1.37,Very Good,F,VS1,63.3,59.0,3.52,3.45,2.18,9970
0.27,Premium,J,IF,57.8,57.0,0.69,0.56,0.43,300
0.99,Ideal,D,VVS2,58.9,57.0,2.55,2.61,1.55,6752
0.38,Ideal,G,SI2,62.4,57.0,0.97,0.93,0.59,300
0.74,Ideal,H,VS2,62.4,56.0,1.87,1.91,1.13,3006
0.63,Ideal,G,SI1,60.8,61.0,1.59,1.59,0.97,2201
1.03,Very Good,D,SI1,61.9,60.0,2.65,2.59,1.59,6414
0.83,Very Good,H,VS2,58.2,61.0,2.12,2.15,1.32,4514
1.45,Ideal,I,SI1,62.7,59.0,3.69,3.67,2.25,9562
0.55,Ideal,I,VS2,62.0,57.0,1.4,1.35,0.86,1664
1.06,Ideal,H,IF,61.6,61.0,2.71,2.66,1.6,7492
0.8,Ideal,E,SI2,61.7,56.0,2.02,1.93,1.24,3812
0.33,Premium,G,VVS1,62.4,56.0,0.84,0.86,0.5,300
0.47,Premium,H,VS2,61.7,56.0,1.19,1.14,0.72,1053
0.69,Ideal,I,VS1,59.1,59.0,1.75,1.75,1.06,3025
1.29,Ideal,G,VVS2,64.8,56.0,3.29,3.28,2.0,9223
0.93,Ideal,D,SI1,63.4,57.0,2.35,2.3,1.41,5116
0.41,Ideal,G,VS2,59.9,54.0,1.04,0.96,0.65,300
0.69,Ideal,D,SI1,61.2,59.0,1.75,1.88,1.06,2691
2.03,Very Good,G,SI1,61.4,54.0,5.14,5.14,3.16,17359
0.78,Premium,I,VVS1,63.2,55.0,2.02,2.11,1.24,4324
0.63,Good,D,VVS2,58.7,60.0,1.58,1.64,0.97,2279
0.95,Premium,G,SI2,61.0,60.0,2.43,2.41,1.49,5338
1.09,Fair,E,SI2,59.2,58.0,2.75,2.76,1.71,6600
0.59,Premium,D,SI1,61.3,58.0,1.52,1.53,0.95,2400
0.95,Premium,J,SI2,61.0,56.0,2.45,2.54,1.49,5445
0.63,Very Good,I,VS2,61.8,56.0,1.6,1.64,0.98,1596
1.06,Premium,E,SI2,60.9,57.0,2.73,2.69,1.62,6110
0.81,Fair,H,VS2,60.6,54.0,2.05,2.07,1.22,3373
0.94,Fair,I,I1,62.6,58.0,2.37,2.41,1.44,4262
0.51,Ideal,J,SI1,62.3,58.0,1.29,1.23,0.81,685
0.49,Premium,J,VS1,62.5,55.0,1.24,1.26,0.76,836
1.19,Good,E,VS2,61.5,61.0,3.02,3.09,1.86,7488
0.71,Premium,I,IF,60.9,59.0,1.8,1.76,1.07,3049
0.85,Ideal,G,VVS1,61.5,59.0,2.16,2.12,1.31,4435
0.64,Very Good,F,SI1,62.4,56.0,1.64,1.7,0.99,2225
1.16,Ideal,G,SI2,58.7,57.0,2.93,2.91,1.82,7405
0.55,Good,J,VVS2,62.3,59.0,1.38,1.33,0.82,1213
0.69,Good,E,VVS1,62.1,58.0,1.76,1.8,1.08,2703
1.1,Premium,J,VVS2,61.8,61.0,2.8,2.83,1.75,6340
1.33,Premium,E,SI2,61.5,57.0,3.34,3.34,2.09,9732
0.57,Ideal,D,IF,58.1,56.0,1.44,1.5,0.9,2349
1.97,Ideal,G,SI1,61.1,59.0,5.02,5.08,3.04,17766
0.87,Ideal,F,VS1,64.2,55.0,2.2,2.2,1.38,4804
0.44,Premium,G,VVS1,61.7,60.0,1.13,1.23,0.7,1449
0.89,Very Good,G,SI1,61.3,55.0,2.25,2.33,1.4,4785
0.61,Ideal,D,VVS1,61.7,59.0,1.53,1.43,0.96,2645
0.92,Very Good,D,SI1,62.2,56.0,2.34,2.29,1.47,4682
0.73,Premium,G,IF,62.6,59.0,1.89,1.78,1.13,3181
0.77,Good,F,SI1,61.4,59.0,1.97,1.95,1.17,3709
0.47,Fair,D,IF,62.3,58.0,1.19,1.13,0.73,1148
1.22,Ideal,D,SI2,64.0,55.0,3.06,3.02,1.87,8157
0.42,Ideal,G,VS1,63.1,56.0,1.07,1.12,0.65,627
0.43,Ideal,G,VS2,65.0,56.0,1.09,1.0,0.67,350
0.89,Premium,H,VS2,60.8,53.0,2.28,2.29,1.35,4387
1.65,Very Good,D,SI1,64.0,60.0,4.22,4.23,2.5,13181
0.62,Very Good,I,VS1,60.6,58.0,1.57,1.57,0.95,1967
1.05,Very Good,F,SI1,62.2,55.0,2.64,2.65,1.58,6104
1.27,Premium,H,VS2,62.7,61.0,3.26,3.15,2.02,8817
1.11,Ideal,H,SI1,61.0,56.0,2.84,2.8,1.78,6795
0.63,Ideal,G,IF,61.8,58.0,1.62,1.7,1.0,2044
0.43,Very Good,D,SI2,63.0,56.0,1.09,1.03,0.67,490
0.25,Ideal,J,SI1,60.7,53.0,0.64,0.72,0.38,300
0.65,Ideal,F,SI1,64.0,54.0,1.64,1.57,1.0,1546
1.34,Premium,J,SI1,59.8,57.0,3.39,3.31,2.11,8801
0.42,Premium,I,SI1,64.4,59.0,1.08,1.03,0.67,626
1.05,Premium,G,VS2,63.1,58.0,2.7,2.76,1.62,6299
0.46,Very Good,G,VVS1,61.6,58.0,1.17,1.14,0.73,873
0.78,Very Good,H,VS1,61.1,53.0,2.01,2.03,1.26,3339
1.06,Ideal,H,VS2,61.0,60.0,2.72,2.72,1.64,6125
0.53,Fair,J,SI2,61.5,58.0,1.34,1.34,0.8,548
0.81,Good,H,VS1,61.6,57.0,2.09,2.15,1.26,4096
0.6,Fair,D,SI2,63.5,60.0,1.53,1.57,0.91,1551
1.05,Fair,D,VVS2,64.5,60.0,2.69,2.63,1.68,6561
0.83,Ideal,G,SI1,62.0,60.0,2.12,2.11,1.33,4688
0.76,Ideal,F,SI1,60.5,57.0,1.93,2.02,1.19,3262
1.61,Premium,D,SI1,60.9,55.0,4.15,4.17,2.58,12599
1.03,Good,J,VVS2,61.4,60.0,2.61,2.53,1.61,6368
0.52,Premium,E,SI2,60.3,54.0,1.31,1.24,0.79,718
0.71,Premium,D,VS2,60.0,62.0,1.83,1.87,1.13,3325
0.71,Very Good,I,SI2,64.6,58.0,1.83,1.87,1.14,3008
0.77,Premium,I,VS1,62.1,55.0,1.96,1.91,1.22,3283
2.62,Premium,D,VVS1,60.5,55.0,6.61,6.65,3.92,20000
0.89,Premium,F,VS2,62.8,55.0,2.28,2.36,1.39,4563
0.27,Ideal,J,VS2,60.1,58.0,0.68,0.75,0.41,300
0.56,Fair,H,VVS1,60.2,57.0,1.42,1.5,0.88,1028
0.28,Premium,G,VS2,60.6,55.0,0.7,0.73,0.43,300
0.63,Ideal,E,VS2,64.0,57.0,1.61,1.6,0.97,1712
0.27,Premium,E,VS2,61.3,54.0,0.68,0.66,0.42,300
0.48,Ideal,D,VS1,58.3,59.0,1.23,1.23,0.75,1108
0.35,Ideal,H,SI2,63.4,57.0,0.9,0.86,0.54,300
0.9,Very Good,F,VVS2,61.3,57.0,2.29,2.27,1.43,4551
0.74,Good,F,VS2,59.1,55.0,1.87,1.93,1.11,3149
0.86,Ideal,G,SI2,61.3,57.0,2.17,2.09,1.28,4391
0.7,Fair,I,VVS2,62.4,57.0,1.77,1.69,1.05,2091
0.37,Premium,D,SI1,62.3,58.0,0.94,0.98,0.56,300
0.96,Ideal,D,SI2,64.2,58.0,2.46,2.44,1.5,6173
1.94,Premium,G,VS1,60.5,59.0,4.87,4.77,3.0,16728
0.91,Premium,F,VVS1,61.8,56.0,2.34,2.34,1.42,4575
0.6,Ideal,H,VVS1,60.7,53.0,1.54,1.53,0.92,1696
0.36,Premium,F,IF,59.5,60.0,0.92,0.9,0.55,467
0.47,Premium,E,VVS1,62.9,55.0,1.19,1.22,0.73,1071
0.93,Ideal,G,I1,62.3,55.0,2.4,2.33,1.47,4521
1.27,Premium,D,SI1,62.1,57.0,3.27,3.27,1.97,9414
0.84,Ideal,F,VVS2,62.3,58.0,2.17,2.16,1.3,5420
1.11,Ideal,G,SI1,60.7,56.0,2.82,2.82,1.67,6798
1.06,Very Good,E,VS2,60.3,56.0,2.74,2.65,1.62,6766
0.95,Good,I,VS2,61.8,57.0,2.39,2.36,1.42,5286
0.53,Good,G,SI1,63.3,61.0,1.35,1.35,0.84,1325
0.81,Fair,G,VVS1,64.0,57.0,2.06,2.09,1.24,3611
